rank,mse_mean,mse_std
1,0.7761472549438476,0.0014991282421194
2,0.6878869857788087,0.0018730886127807
3,0.6433031158447265,0.002809271609273
4,0.6162345504760742,0.0031539139726507
5,0.6037578926086425,0.0043483537723018
6,0.6006428451538085,0.0074818238370967
8,0.6059284782409667,0.0095902999189632
11,0.6355784606933594,0.0063653150009004
14,0.6678523712158203,0.0004333298869413
18,0.7014996185302735,0.006150683618858
23,0.7375075225830078,0.0072199419466251
29,0.7412116241455078,0.0079525772860914
37,0.7319161224365234,0.0057315217228094
48,0.671430450439453,0.0111661943740934
61,0.6054244689941406,0.0020691220748846
78,0.5438131561279297,0.0067829580462501
100,0.5084590301513673,0.0058066714950416
141,0.5071321334838867,0.0023636416456003
200,0.506712631225586,0.0022357925344219
282,0.5023789520263672,0.0028976555034497
400,0.503128791809082,0.0027295968165543
