rank,mse_mean,mse_std
800.0,0.004321787059307,3.243952989578263e-05
512.0,0.004371200799942,1.2261867523193429e-05
328.0,0.0043565276265144,7.88271427154888e-07
210.0,0.0043960127234458,4.69720363616942e-05
135.0,0.0045023441314697,3.7829279899597064e-05
86.0,0.0042001515626907,1.721322536468511e-05
55.0,0.0037710517644882,2.8336048126221224e-06
35.0,0.0038911655545234,1.268416643142702e-05
23.0,0.005340481698513,5.469024181365811e-06
14.0,0.0095859175920486,3.1763315200801848e-06
9.0,0.0173584985733032,6.8306922912601126e-06
6.0,0.0301938211917877,2.849102020262978e-07
4.0,0.0519223546981811,1.2173652648928696e-05
2.0,0.12301278591156,4.339218139665091e-07
1.0,0.254733076095581,5.102157592778989e-06
