n,mse
64000000,0.016885867693966
58237490,0.0168862548396038
52993832,0.016886680278193
48222309,0.0168871477961034
43880410,0.01688766155659
39929452,0.0168882261327105
36334236,0.016888846549889
33062730,0.0168895283313799
30085788,0.0168902775466581
27376887,0.0168911008656282
24911893,0.0168920056173755
22668846,0.016892999856453
20627761,0.0168940924347709
18770454,0.0168952930796395
17080377,0.0168966124827782
15542473,0.0168980623921899
14143041,0.0168996557180334
12869613,0.0169014066514918
11710843,0.0169033307886576
10656408,0.0169054452688015
9696913,0.0169077689315595
8823811,0.0169103224797377
8029321,0.016913128678738
7306368,0.0169162125322905
6648508,0.0169196015498047
6049882,0.0169233259486416
5505155,0.0169274189683652
5009475,0.0169319171328901
4558426,0.0169368606028876
4147989,0.0169422935424667
3774507,0.0169482645151217
3434653,0.0169548269121908
3125400,0.0169620394365794
2843991,0.0169699667192924
2587920,0.0169786797803164
2354906,0.0169882567583423
2142872,0.0169987836896683
1949930,0.017010355149742
1774359,0.0170230754280957
1614597,0.0170370590312416
1469220,0.0170524322305705
1336933,0.0170693340082128
1216556,0.0170879177098242
1107019,0.0171083516683046
1007343,0.0171308224592781
916643,0.0171555344613763
834109,0.0171827143030853
759007,0.01721261106266
690666,0.0172455010086787
628479,0.0172816875318793
571891,0.0173215073162937
520399,0.0173653311175696
473542,0.0174135722391217
430905,0.0174666835783632
392106,0.0175251724301936
356801,0.0175895961357195
324675,0.0176605764907389
295442,0.0177388031510381
268840,0.0178250492558762
244634,0.0179201647260338
222607,0.0180251097919363
202564,0.0181409456710346
184325,0.0182688756841655
167729,0.0184102293961816
152626,0.0185665333406692
138884,0.0187394590974967
126379,0.0189309409792812
115000,0.0191431460655595
104645,0.0193785578019849
95223,0.0196399621261724
86649,0.0199306090460502
78847,0.0202541944839034
71748,0.0206149710631085
65288,0.02101794369216
59409,0.0214689672832479
54060,0.0219747763282351
49193,0.0225434862906301
44763,0.0231850524183823
40733,0.0239109282520002
37065,0.0247360037136981
33728,0.0256778381809779
30691,0.0267582741194294
27927,0.0280021393097464
25413,0.029439443947036
23125,0.031113710988762
21042,0.03308431687813
19148,0.0354284174362453
17424,0.0382604534654542
15855,0.041747000935848
14427,0.0461487135324378
13128,0.0518545619222707
11946,0.0596275017064911
10870,0.0699839490679088
9892,0.084359414120086
9001,0.1042886371835036
8190,0.1349789296518115
7453,0.1798133341315855
6782,0.2496285833725653
6171,0.343159813875006
5615,0.4188741450342028
5110,0.3436195335554044
4650,0.3088355351719893
4231,0.2809617795589259
3850,0.2714732924489063
3503,0.273224948795032
3188,0.2790106589941832
2901,0.2893391476407323
2640,0.3037097057610352
2402,0.3222659960710219
2186,0.3445679359832443
1989,0.3698951466648483
1810,0.3978793015157067
1647,0.4295074661980411
1498,0.4632250507066087
1363,0.4992165371779489
1241,0.5369469931388655
1129,0.5765711691088324
1027,0.6175129999130207
935,0.6588132426766897
850,0.7010451707773727
774,0.7421057172503083
704,0.7825430092070123
641,0.8206343801704034
583,0.8565550249724254
530,0.8892613210020354
483,0.9174297831217084
439,0.9423577664469528
400,0.9627326683715504
