rank,mse
1,0.7662722828697577
2,0.664536386822443
3,0.6019954049281862
4,0.5577122859268207
5,0.5238320692497986
6,0.4966095275434097
7,0.4739843227224805
8,0.454708977261445
9,0.4379742309775949
10,0.4232270118142467
11,0.4100735851624515
12,0.3982242873774118
13,0.3874601786102705
14,0.3776119879631638
16,0.3601562244785683
17,0.3523548458714236
18,0.3450706260446126
19,0.33824400638151
20,0.3318249083321658
22,0.3200454861874675
23,0.3146175268697153
25,0.3045486859538562
28,0.2910987748147016
29,0.2869888648174976
32,0.2755969930271931
36,0.2622313543936749
37,0.2591632666376107
41,0.2478049767010472
42,0.2451697946329842
46,0.2353274213731284
48,0.2307799405639587
52,0.2223251836972344
55,0.2164760785851118
59,0.2092419711439712
63,0.2025691600983743
66,0.1978872275120002
72,0.189241027171481
75,0.1852340004294557
82,0.176583873448145
84,0.1742732140872245
94,0.1636290231701993
95,0.162639466031921
107,0.1516545936989808
108,0.1508061944696976
121,0.1405633071659919
123,0.1391045445137053
136,0.1302657057342979
141,0.1271315554091836
153,0.1201226009773361
161,0.1158055948651621
173,0.1097894975934499
184,0.1046978796039386
195,0.0999581384278154
210,0.0939869186652668
220,0.0902829080576514
240,0.08344551027107
248,0.0808991940221564
275,0.0729811893756382
279,0.0718875857429688
314,0.0630541415222898
315,0.0628193227344324
355,0.05409736540511
359,0.0532904291789928
400,0.0455937253755043
410,0.0438593460794525
414,0.0431797358992731
428,0.0408616591359547
443,0.0384767710515421
458,0.0361867683880792
469,0.0345638312737257
474,0.0338411480835789
490,0.031588573205004
507,0.0292898467465045
524,0.0270817179349804
536,0.0255741151438577
542,0.0248354113520499
561,0.0225593353838451
580,0.0203738527807375
600,0.018164199690082
612,0.0168803739878946
621,0.0159371507413517
642,0.0137986183960168
664,0.0116463995605984
687,0.0094859109823519
700,0.0083027737094789
711,0.0073220581297162
735,0.0052440629418595
761,0.0030827892495515
787,0.0010082899889756
800,1.612030233077988e-06
814,1.612030233077988e-06
842,1.612030233077988e-06
871,1.612030233077988e-06
901,1.612030233077988e-06
914,1.612030233077988e-06
932,1.612030233077988e-06
964,1.612030233077988e-06
997,1.612030233077988e-06
1032,1.612030233077988e-06
1045,1.612030233077988e-06
1067,1.612030233077988e-06
1104,1.612030233077988e-06
1142,1.612030233077988e-06
1181,1.612030233077988e-06
1195,1.612030233077988e-06
1222,1.612030233077988e-06
1264,1.612030233077988e-06
1307,1.612030233077988e-06
1352,1.612030233077988e-06
1366,1.612030233077988e-06
1399,1.612030233077988e-06
1447,1.612030233077988e-06
1497,1.612030233077988e-06
1548,1.612030233077988e-06
1561,1.612030233077988e-06
1601,1.612030233077988e-06
1657,1.612030233077988e-06
1714,1.612030233077988e-06
1773,1.612030233077988e-06
1784,1.612030233077988e-06
1834,1.612030233077988e-06
1897,1.612030233077988e-06
1962,1.612030233077988e-06
2029,1.612030233077988e-06
2039,1.612030233077988e-06
2099,1.612030233077988e-06
2172,1.612030233077988e-06
2246,1.612030233077988e-06
2324,1.612030233077988e-06
2331,1.612030233077988e-06
2404,1.612030233077988e-06
2486,1.612030233077988e-06
2572,1.612030233077988e-06
2660,1.612030233077988e-06
2665,1.6120302333000325e-06
2752,1.612030233077988e-06
2847,1.6120302333000325e-06
2945,1.6120302326338989e-06
3046,1.6120302326338989e-06
